商談コード,商談名,金額,完了予定日,フェーズ,従業員コード,顧客コード,姓,名,部署名,顧客名,都道府県,業種
2014-0022,201403有限会社スターナカノ様商談,11200,20140329,成立,2003-01,10086,桜庭,花子,営業,有限会社スターナカノ,東京,不動産
2015-0065,201504有限会社スターナカノ様商談,10800,20150406,成立,2003-01,10086,桜庭,花子,営業,有限会社スターナカノ,東京,不動産
2013-0070,201308有限会社スターナカノ様商談,166400,20130803,成立,2001-01,10086,吉田,義男,営業,有限会社スターナカノ,東京,不動産
2014-0011,201402有限会社スターナカノ様商談,40800,20140206,成立,2001-01,10086,吉田,義男,営業,有限会社スターナカノ,東京,不動産
2013-0091,201309有限会社スターナカノ様商談,140000,20130929,成立,2010-01,10086,酒井,林檎,営業,有限会社スターナカノ,東京,不動産
2014-0029,201403有限会社スターナカノ様商談,11200,20140328,成立,2010-01,10086,酒井,林檎,営業,有限会社スターナカノ,東京,不動産
2013-0049,201304うう運輸様商談,14800,20130416,敗退,2003-01,10015,桜庭,花子,営業,うう運輸,東京,運輸
2013-0087,201309うう運輸様商談,74000,20130913,成立,2003-01,10015,桜庭,花子,営業,うう運輸,東京,運輸
2015-0040,201503うう運輸様商談,288000,20150311,成立,2003-01,10015,桜庭,花子,営業,うう運輸,東京,運輸
2015-0148,201510うう運輸様商談,49660,20151028,成立,2003-01,10015,桜庭,花子,営業,うう運輸,東京,運輸
2013-0100,201310うう運輸様商談,152800,20131011,成立,2010-01,10015,酒井,林檎,営業,うう運輸,東京,運輸
2015-0032,201503うう運輸様商談,182800,20150317,成立,2010-01,10015,酒井,林檎,営業,うう運輸,東京,運輸
2015-0046,201503うう運輸様商談,72000,20150301,成立,2010-01,10015,酒井,林檎,営業,うう運輸,東京,運輸
2013-0057,201306オレンジ＆Co株式会社様商談,16000,20130602,成立,2003-01,10040,桜庭,花子,営業,オレンジ＆Co株式会社,東京,アパレル
2013-0098,201310オレンジ＆Co株式会社様商談,242200,20131009,敗退,2003-01,10040,桜庭,花子,営業,オレンジ＆Co株式会社,東京,アパレル
2013-0007,201302オレンジ＆Co株式会社様商談,181600,20130202,成立,2001-01,10040,吉田,義男,営業,オレンジ＆Co株式会社,東京,アパレル
2013-0014,201303オレンジ＆Co株式会社様商談,70000,20130303,成立,2001-01,10040,吉田,義男,営業,オレンジ＆Co株式会社,東京,アパレル
2013-0033,201303オレンジ＆Co株式会社様商談,2400,20130310,敗退,2001-01,10040,吉田,義男,営業,オレンジ＆Co株式会社,東京,アパレル
2013-0079,201309オレンジ＆Co株式会社様商談,28200,20130908,敗退,2010-01,10040,酒井,林檎,営業,オレンジ＆Co株式会社,東京,アパレル
2014-0095,201406オレンジ＆Co株式会社様商談,200000,20140615,敗退,2010-01,10040,酒井,林檎,営業,オレンジ＆Co株式会社,東京,アパレル
2013-0071,201308ハイコウガス株式会社様商談,255000,20130813,成立,2003-01,10057,桜庭,花子,営業,ハイコウガス株式会社,東京,電気、ガス、水道、エネルギー
2014-0075,201404ハイコウガス株式会社様商談,41400,20140418,成立,2003-01,10057,桜庭,花子,営業,ハイコウガス株式会社,東京,電気、ガス、水道、エネルギー
2011-0030,201107ハイコウガス株式会社様商談,9000,20110717,敗退,2001-01,10057,吉田,義男,営業,ハイコウガス株式会社,東京,電気、ガス、水道、エネルギー
2015-0017,201503ハイコウガス株式会社様商談,135000,20150329,敗退,2001-01,10057,吉田,義男,営業,ハイコウガス株式会社,東京,電気、ガス、水道、エネルギー
2015-0048,201503ハイコウガス株式会社様商談,163200,20150329,敗退,2001-01,10057,吉田,義男,営業,ハイコウガス株式会社,東京,電気、ガス、水道、エネルギー
2013-0077,201309Y銀行様商談,180000,20130911,敗退,2003-01,10028,桜庭,花子,営業,Y銀行,東京,金融
2014-0065,201403Y銀行様商談,36000,20140313,成立,2003-01,10028,桜庭,花子,営業,Y銀行,東京,金融
2015-0024,201503Y銀行様商談,214000,20150327,成立,2003-01,10028,桜庭,花子,営業,Y銀行,東京,金融
2015-0059,201504Y銀行様商談,110400,20150415,成立,2001-01,10028,吉田,義男,営業,Y銀行,東京,金融
2013-0081,201309T投資銀行様商談,141600,20130913,成立,2003-01,10023,桜庭,花子,営業,T投資銀行,東京,金融
2012-0047,201211T投資銀行様商談,45000,20121128,成立,2001-01,10023,吉田,義男,営業,T投資銀行,東京,金融
2013-0066,201307T投資銀行様商談,56000,20130727,敗退,2001-01,10023,吉田,義男,営業,T投資銀行,東京,金融
2013-0093,201309T投資銀行様商談,62400,20130909,敗退,2010-01,10023,酒井,林檎,営業,T投資銀行,東京,金融
2013-0105,201311A庁様商談,252000,20131103,成立,2003-01,10001,桜庭,花子,営業,A庁,東京,公共
2014-0130,201409A庁様商談,24200,20140910,成立,2003-01,10001,桜庭,花子,営業,A庁,東京,公共
2013-0003,201301A庁様商談,225000,20130125,成立,2001-01,10001,吉田,義男,営業,A庁,東京,公共
2012-0050,201212A庁様商談,38400,20121227,成立,2010-01,10001,酒井,林檎,営業,A庁,東京,公共
2015-0087,201506A庁様商談,152600,20150613,成立,2010-01,10001,酒井,林檎,営業,A庁,東京,公共
2014-0002,201401独立行政法人C様商談,3800,20140109,敗退,2003-01,10003,桜庭,花子,営業,独立行政法人C,東京,公共
2014-0064,201403独立行政法人C様商談,60800,20140330,成立,2003-01,10003,桜庭,花子,営業,独立行政法人C,東京,公共
2015-0097,201507独立行政法人C様商談,21000,20150704,成立,2003-01,10003,桜庭,花子,営業,独立行政法人C,東京,公共
2014-0084,201404独立行政法人C様商談,290000,20140403,敗退,2001-01,10003,吉田,義男,営業,独立行政法人C,東京,公共
2011-0031,201107独立行政法人C様商談,38000,20110706,成立,2010-01,10003,酒井,林檎,営業,独立行政法人C,東京,公共
2013-0095,201310独立行政法人C様商談,122000,20131031,成立,2010-01,10003,酒井,林檎,営業,独立行政法人C,東京,公共
2014-0003,201401独立行政法人C様商談,46800,20140128,敗退,2010-01,10003,酒井,林檎,営業,独立行政法人C,東京,公共
2014-0006,201401株式会社ナニヌ研究所様商談,12600,20140101,成立,2003-01,10034,桜庭,花子,営業,株式会社ナニヌ研究所,東京,情報通信
2015-0150,201511株式会社ナニヌ研究所様商談,84000,20151106,成立,2003-01,10034,桜庭,花子,営業,株式会社ナニヌ研究所,東京,情報通信
2015-0159,201511株式会社ナニヌ研究所様商談,5400,20151126,成立,2003-01,10034,桜庭,花子,営業,株式会社ナニヌ研究所,東京,情報通信
2015-0168,201512株式会社ナニヌ研究所様商談,240000,20151204,成立,2010-01,10034,酒井,林檎,営業,株式会社ナニヌ研究所,東京,情報通信
2014-0009,201402H町役場様商談,62000,20140225,成立,2003-01,10008,桜庭,花子,営業,H町役場,神奈川,公共
2012-0038,201209H町役場様商談,95000,20120930,成立,2001-01,10008,吉田,義男,営業,H町役場,神奈川,公共
2013-0088,201309H町役場様商談,84000,20130926,成立,2001-01,10008,吉田,義男,営業,H町役場,神奈川,公共
2014-0070,201404H町役場様商談,12680,20140417,成立,2001-01,10008,吉田,義男,営業,H町役場,神奈川,公共
2014-0109,201407H町役場様商談,76000,20140701,成立,2001-01,10008,吉田,義男,営業,H町役場,神奈川,公共
2015-0106,201509H町役場様商談,24000,20150928,成立,2001-01,10008,吉田,義男,営業,H町役場,神奈川,公共
2013-0111,201312H町役場様商談,45000,20131223,成立,2010-01,10008,酒井,林檎,営業,H町役場,神奈川,公共
2014-0015,201402βエクセレントレストラン様商談,123200,20140204,成立,2003-01,10070,桜庭,花子,営業,βエクセレントレストラン,東京,サービス
2014-0110,201408βエクセレントレストラン様商談,37200,20140824,成立,2003-01,10070,桜庭,花子,営業,βエクセレントレストラン,東京,サービス
2015-0019,201503βエクセレントレストラン様商談,32000,20150307,成立,2010-01,10070,酒井,林檎,営業,βエクセレントレストラン,東京,サービス
2014-0019,201403□□製造様商談,168000,20140319,成立,2003-01,10012,桜庭,花子,営業,□□製造,神奈川,製造
2011-0049,201112□□製造様商談,74400,20111227,成立,2001-01,10012,吉田,義男,営業,□□製造,神奈川,製造
2013-0113,201312□□製造様商談,127400,20131218,敗退,2001-01,10012,吉田,義男,営業,□□製造,神奈川,製造
2011-0023,201104□□製造様商談,9000,20110409,成立,2010-01,10012,酒井,林檎,営業,□□製造,神奈川,製造
2014-0045,201403有限会社シマムー様商談,1600,20140311,成立,2003-01,10049,桜庭,花子,営業,有限会社シマムー,東京,アパレル
2015-0030,201503有限会社シマムー様商談,44000,20150318,成立,2003-01,10049,桜庭,花子,営業,有限会社シマムー,東京,アパレル
2013-0084,201309有限会社シマムー様商談,140000,20130927,成立,2001-01,10049,吉田,義男,営業,有限会社シマムー,東京,アパレル
2015-0142,201510有限会社シマムー様商談,160000,20151028,成立,2001-01,10049,吉田,義男,営業,有限会社シマムー,東京,アパレル
2014-0057,201403ああ運輸様商談,100000,20140324,成立,2003-01,10013,桜庭,花子,営業,ああ運輸,千葉,運輸
2014-0128,201409ああ運輸様商談,187800,20140908,敗退,2003-01,10013,桜庭,花子,営業,ああ運輸,千葉,運輸
2012-0021,201204ああ運輸様商談,184000,20120426,成立,2001-01,10013,吉田,義男,営業,ああ運輸,千葉,運輸
2014-0071,201404ああ運輸様商談,279000,20140406,成立,2001-01,10013,吉田,義男,営業,ああ運輸,千葉,運輸
2011-0021,201104ああ運輸様商談,18160,20110426,成立,2010-01,10013,酒井,林檎,営業,ああ運輸,千葉,運輸
2014-0069,201404栗賛総合病院様商談,4200,20140401,成立,2003-01,10068,桜庭,花子,営業,栗賛総合病院,東京,医療、福祉
2014-0104,201407栗賛総合病院様商談,145600,20140729,成立,2003-01,10068,桜庭,花子,営業,栗賛総合病院,東京,医療、福祉
2014-0018,201402栗賛総合病院様商談,6000,20140207,成立,2001-01,10068,吉田,義男,営業,栗賛総合病院,東京,医療、福祉
2014-0067,201404栗賛総合病院様商談,26600,20140430,成立,2010-01,10068,酒井,林檎,営業,栗賛総合病院,東京,医療、福祉
2015-0054,201503栗賛総合病院様商談,86400,20150304,成立,2010-01,10068,酒井,林檎,営業,栗賛総合病院,東京,医療、福祉
2014-0086,201405O銀行様商談,91200,20140516,成立,2003-01,10018,桜庭,花子,営業,O銀行,埼玉,金融
2014-0163,201412O銀行様商談,217800,20141210,成立,2003-01,10018,桜庭,花子,営業,O銀行,埼玉,金融
2013-0047,201304O銀行様商談,87380,20130421,成立,2010-01,10018,酒井,林檎,営業,O銀行,埼玉,金融
2014-0090,201405○○製造様商談,24000,20140512,敗退,2003-01,10010,桜庭,花子,営業,○○製造,東京,製造
2011-0015,201103○○製造様商談,149000,20110313,成立,2001-01,10010,吉田,義男,営業,○○製造,東京,製造
2013-0004,201301○○製造様商談,180000,20130126,成立,2001-01,10010,吉田,義男,営業,○○製造,東京,製造
2015-0104,201508○○製造様商談,140000,20150824,成立,2001-01,10010,吉田,義男,営業,○○製造,東京,製造
2013-0030,201303○○製造様商談,12000,20130325,成立,2010-01,10010,酒井,林檎,営業,○○製造,東京,製造
2013-0040,201304○○製造様商談,246000,20130424,成立,2010-01,10010,酒井,林檎,営業,○○製造,東京,製造
2013-0050,201305○○製造様商談,40000,20130519,成立,2010-01,10010,酒井,林檎,営業,○○製造,東京,製造
2014-0103,201407株式会社パーク西村不動産様商談,19000,20140716,敗退,2003-01,10084,桜庭,花子,営業,株式会社パーク西村不動産,東京,不動産
2014-0140,201409株式会社パーク西村不動産様商談,184000,20140929,成立,2001-01,10084,吉田,義男,営業,株式会社パーク西村不動産,東京,不動産
2015-0145,201510株式会社パーク西村不動産様商談,60000,20151011,成立,2010-01,10084,酒井,林檎,営業,株式会社パーク西村不動産,東京,不動産
2014-0108,201407B省様商談,15800,20140701,成立,2003-01,10002,桜庭,花子,営業,B省,東京,公共
2014-0052,201403B省様商談,42000,20140320,成立,2001-01,10002,吉田,義男,営業,B省,東京,公共
2013-0029,201303B省様商談,70000,20130314,成立,2010-01,10002,酒井,林檎,営業,B省,東京,公共
2013-0034,201303B省様商談,97400,20130309,成立,2010-01,10002,酒井,林檎,営業,B省,東京,公共
2015-0118,201509B省様商談,200000,20150919,成立,2010-01,10002,酒井,林檎,営業,B省,東京,公共
2014-0114,201408S保険様商談,80000,20140817,成立,2003-01,10022,桜庭,花子,営業,S保険,東京,金融
2015-0101,201508S保険様商談,20000,20150824,敗退,2003-01,10022,桜庭,花子,営業,S保険,東京,金融
2011-0042,201109S保険様商談,4000,20110914,成立,2001-01,10022,吉田,義男,営業,S保険,東京,金融
2012-0061,201204S保険様商談,34400,20120419,成立,2001-01,10022,吉田,義男,営業,S保険,東京,金融
2013-0041,201304S保険様商談,25400,20130405,成立,2001-01,10022,吉田,義男,営業,S保険,東京,金融
2013-0045,201304S保険様商談,132000,20130408,成立,2001-01,10022,吉田,義男,営業,S保険,東京,金融
2014-0121,201409S保険様商談,38000,20140911,成立,2001-01,10022,吉田,義男,営業,S保険,東京,金融
2014-0093,201406S保険様商談,77600,20140617,敗退,2010-01,10022,酒井,林檎,営業,S保険,東京,金融
2015-0039,201503S保険様商談,5000,20150324,成立,2010-01,10022,酒井,林檎,営業,S保険,東京,金融
2015-0069,201504S保険様商談,94400,20150401,成立,2010-01,10022,酒井,林檎,営業,S保険,東京,金融
2014-0115,201408オッツ渋谷株式会社様商談,7200,20140807,成立,2003-01,10045,桜庭,花子,営業,オッツ渋谷株式会社,東京,アパレル
2012-0023,201204オッツ渋谷株式会社様商談,229200,20120416,成立,2010-01,10045,酒井,林檎,営業,オッツ渋谷株式会社,東京,アパレル
2014-0141,201409Z信用金庫様商談,20000,20140911,成立,2003-01,10029,桜庭,花子,営業,Z信用金庫,神奈川,金融
2012-0040,201209Z信用金庫様商談,120000,20120928,成立,2001-01,10029,吉田,義男,営業,Z信用金庫,神奈川,金融
2014-0068,201404Z信用金庫様商談,6000,20140406,成立,2001-01,10029,吉田,義男,営業,Z信用金庫,神奈川,金融
2015-0053,201503Z信用金庫様商談,266000,20150318,成立,2001-01,10029,吉田,義男,営業,Z信用金庫,神奈川,金融
2015-0167,201512Z信用金庫様商談,119800,20151206,敗退,2001-01,10029,吉田,義男,営業,Z信用金庫,神奈川,金融
2011-0014,201103Z信用金庫様商談,65000,20110308,敗退,2010-01,10029,酒井,林檎,営業,Z信用金庫,神奈川,金融
2012-0054,201203Z信用金庫様商談,238800,20120310,成立,2010-01,10029,酒井,林檎,営業,Z信用金庫,神奈川,金融
2014-0050,201403Z信用金庫様商談,104000,20140308,敗退,2010-01,10029,酒井,林檎,営業,Z信用金庫,神奈川,金融
2014-0107,201407Z信用金庫様商談,71600,20140726,成立,2010-01,10029,酒井,林檎,営業,Z信用金庫,神奈川,金融
2015-0031,201503Z信用金庫様商談,50000,20150331,成立,2010-01,10029,酒井,林檎,営業,Z信用金庫,神奈川,金融
2014-0149,201409インポート青木株式会社様商談,120000,20140920,成立,2003-01,10053,桜庭,花子,営業,インポート青木株式会社,東京,食品、科学
2012-0074,201212インポート青木株式会社様商談,55460,20121219,成立,2001-01,10053,吉田,義男,営業,インポート青木株式会社,東京,食品、科学
2014-0153,201410インポート青木株式会社様商談,156800,20141024,成立,2001-01,10053,吉田,義男,営業,インポート青木株式会社,東京,食品、科学
2014-0165,201412インポート青木株式会社様商談,16800,20141208,成立,2010-01,10053,酒井,林檎,営業,インポート青木株式会社,東京,食品、科学
2014-0150,201409X銀行様商談,72000,20140925,成立,2003-01,10027,桜庭,花子,営業,X銀行,東京,金融
2014-0161,201411γ進学ゼミ様商談,3000,20141106,敗退,2003-01,10071,桜庭,花子,営業,γ進学ゼミ,東京,サービス
2014-0010,201402γ進学ゼミ様商談,172000,20140220,成立,2001-01,10071,吉田,義男,営業,γ進学ゼミ,東京,サービス
2014-0127,201409γ進学ゼミ様商談,11200,20140920,成立,2001-01,10071,吉田,義男,営業,γ進学ゼミ,東京,サービス
2013-0112,201312γ進学ゼミ様商談,190400,20131202,成立,2010-01,10071,酒井,林檎,営業,γ進学ゼミ,東京,サービス
2015-0061,201504γ進学ゼミ様商談,9000,20150430,成立,2010-01,10071,酒井,林檎,営業,γ進学ゼミ,東京,サービス
2014-0162,201411株式会社ナリサデザイン様商談,260000,20141117,敗退,2003-01,10041,桜庭,花子,営業,株式会社ナリサデザイン,東京,アパレル
2012-0017,201203株式会社ナリサデザイン様商談,44800,20120326,成立,2001-01,10041,吉田,義男,営業,株式会社ナリサデザイン,東京,アパレル
2013-0102,201311株式会社ナリサデザイン様商談,19600,20131126,成立,2001-01,10041,吉田,義男,営業,株式会社ナリサデザイン,東京,アパレル
2014-0039,201403株式会社ナリサデザイン様商談,253800,20140331,成立,2001-01,10041,吉田,義男,営業,株式会社ナリサデザイン,東京,アパレル
2015-0005,201501株式会社マッチャン電気様商談,124000,20150107,成立,2003-01,10055,桜庭,花子,営業,株式会社マッチャン電気,千葉,電気、ガス、水道、エネルギー
2013-0107,201312株式会社マッチャン電気様商談,209800,20131224,敗退,2001-01,10055,吉田,義男,営業,株式会社マッチャン電気,千葉,電気、ガス、水道、エネルギー
2014-0021,201403株式会社マッチャン電気様商談,87000,20140301,敗退,2001-01,10055,吉田,義男,営業,株式会社マッチャン電気,千葉,電気、ガス、水道、エネルギー
2014-0063,201403株式会社マッチャン電気様商談,12000,20140312,成立,2001-01,10055,吉田,義男,営業,株式会社マッチャン電気,千葉,電気、ガス、水道、エネルギー
2015-0138,201509株式会社マッチャン電気様商談,8000,20150925,成立,2001-01,10055,吉田,義男,営業,株式会社マッチャン電気,千葉,電気、ガス、水道、エネルギー
2015-0034,201503株式会社ニシマサ商事様商談,80000,20150306,成立,2003-01,10093,桜庭,花子,営業,株式会社ニシマサ商事,東京,広告
2015-0108,201509株式会社ニシマサ商事様商談,107600,20150920,成立,2003-01,10093,桜庭,花子,営業,株式会社ニシマサ商事,東京,広告
2013-0065,201307株式会社ニシマサ商事様商談,14000,20130725,成立,2001-01,10093,吉田,義男,営業,株式会社ニシマサ商事,東京,広告
2013-0096,201310株式会社ニシマサ商事様商談,284600,20131023,成立,2001-01,10093,吉田,義男,営業,株式会社ニシマサ商事,東京,広告
2015-0035,201503株式会社ニシマサ商事様商談,7840,20150319,敗退,2001-01,10093,吉田,義男,営業,株式会社ニシマサ商事,東京,広告
2012-0042,201209株式会社ニシマサ商事様商談,68000,20120911,成立,2010-01,10093,酒井,林檎,営業,株式会社ニシマサ商事,東京,広告
2013-0064,201307株式会社ニシマサ商事様商談,175000,20130718,敗退,2010-01,10093,酒井,林檎,営業,株式会社ニシマサ商事,東京,広告
2014-0043,201403株式会社ニシマサ商事様商談,58200,20140318,成立,2010-01,10093,酒井,林檎,営業,株式会社ニシマサ商事,東京,広告
2015-0055,201503ミコッシー株式会社様商談,17400,20150307,成立,2003-01,10056,桜庭,花子,営業,ミコッシー株式会社,東京,電気、ガス、水道、エネルギー
2011-0036,201109ミコッシー株式会社様商談,144000,20110924,成立,2001-01,10056,吉田,義男,営業,ミコッシー株式会社,東京,電気、ガス、水道、エネルギー
2015-0011,201502ミコッシー株式会社様商談,6000,20150222,敗退,2001-01,10056,吉田,義男,営業,ミコッシー株式会社,東京,電気、ガス、水道、エネルギー
2015-0058,201503株式会社エノパー様商談,92000,20150318,成立,2003-01,10073,桜庭,花子,営業,株式会社エノパー,東京,小売
2012-0025,201205株式会社エノパー様商談,48400,20120507,成立,2001-01,10073,吉田,義男,営業,株式会社エノパー,東京,小売
2015-0127,201509株式会社エノパー様商談,136000,20150901,成立,2001-01,10073,吉田,義男,営業,株式会社エノパー,東京,小売
2015-0027,201503株式会社エノパー様商談,19600,20150314,成立,2010-01,10073,酒井,林檎,営業,株式会社エノパー,東京,小売
2015-0074,201505株式会社エノパー様商談,38820,20150523,成立,2010-01,10073,酒井,林檎,営業,株式会社エノパー,東京,小売
2015-0060,201504△△製造様商談,8000,20150401,成立,2003-01,10011,桜庭,花子,営業,△△製造,東京,製造
2013-0058,201306△△製造様商談,14400,20130602,成立,2001-01,10011,吉田,義男,営業,△△製造,東京,製造
2015-0051,201503△△製造様商談,215000,20150329,敗退,2010-01,10011,酒井,林檎,営業,△△製造,東京,製造
2015-0062,201504△△製造様商談,14400,20150404,成立,2010-01,10011,酒井,林檎,営業,△△製造,東京,製造
2015-0064,201504有限会社カッシー様商談,84000,20150409,成立,2003-01,10050,桜庭,花子,営業,有限会社カッシー,東京,食品、科学
2014-0001,201401有限会社カッシー様商談,16800,20140108,成立,2001-01,10050,吉田,義男,営業,有限会社カッシー,東京,食品、科学
2014-0074,201404有限会社カッシー様商談,252700,20140415,敗退,2001-01,10050,吉田,義男,営業,有限会社カッシー,東京,食品、科学
2014-0081,201404有限会社カッシー様商談,104400,20140414,成立,2001-01,10050,吉田,義男,営業,有限会社カッシー,東京,食品、科学
2015-0078,201505ハヒフエレクトロニクス株式会社様商談,88400,20150502,成立,2003-01,10035,桜庭,花子,営業,ハヒフエレクトロニクス株式会社,東京,情報通信
2015-0107,201509ハヒフエレクトロニクス株式会社様商談,25600,20150927,成立,2001-01,10035,吉田,義男,営業,ハヒフエレクトロニクス株式会社,東京,情報通信
2015-0131,201509ハヒフエレクトロニクス株式会社様商談,11200,20150917,成立,2001-01,10035,吉田,義男,営業,ハヒフエレクトロニクス株式会社,東京,情報通信
2015-0081,201505ハヒフエレクトロニクス株式会社様商談,52800,20150501,成立,2010-01,10035,酒井,林檎,営業,ハヒフエレクトロニクス株式会社,東京,情報通信
2015-0083,201506クガガール商事株式会社様商談,152000,20150624,成立,2003-01,10044,桜庭,花子,営業,クガガール商事株式会社,東京,アパレル
2014-0082,201404クガガール商事株式会社様商談,37200,20140405,敗退,2001-01,10044,吉田,義男,営業,クガガール商事株式会社,東京,アパレル
2012-0006,201203クガガール商事株式会社様商談,6000,20120313,成立,2010-01,10044,酒井,林檎,営業,クガガール商事株式会社,東京,アパレル
2014-0044,201403クガガール商事株式会社様商談,110000,20140314,敗退,2010-01,10044,酒井,林檎,営業,クガガール商事株式会社,東京,アパレル
2015-0125,201509有限会社メゾンイマム様商談,68000,20150905,成立,2003-01,10072,桜庭,花子,営業,有限会社メゾンイマム,東京,小売
2015-0139,201509有限会社メゾンイマム様商談,126000,20150916,成立,2003-01,10072,桜庭,花子,営業,有限会社メゾンイマム,東京,小売
2011-0043,201109有限会社メゾンイマム様商談,30400,20110901,成立,2001-01,10072,吉田,義男,営業,有限会社メゾンイマム,東京,小売
2014-0117,201409有限会社メゾンイマム様商談,266000,20140915,成立,2001-01,10072,吉田,義男,営業,有限会社メゾンイマム,東京,小売
2014-0054,201403有限会社メゾンイマム様商談,40000,20140306,成立,2010-01,10072,酒井,林檎,営業,有限会社メゾンイマム,東京,小売
2015-0140,201510区立病院様商談,92100,20151016,成立,2003-01,10066,桜庭,花子,営業,区立病院,神奈川,医療、福祉
2015-0153,201511区立病院様商談,3000,20151120,成立,2003-01,10066,桜庭,花子,営業,区立病院,神奈川,医療、福祉
2015-0170,201512株式会社アイウ情報サービス様商談,137000,20151230,成立,2003-01,10030,桜庭,花子,営業,株式会社アイウ情報サービス,東京,情報通信
2015-0028,201503株式会社アイウ情報サービス様商談,9400,20150326,成立,2001-01,10030,吉田,義男,営業,株式会社アイウ情報サービス,東京,情報通信
2011-0018,201103ええ運輸様商談,56000,20110328,成立,2001-01,10016,吉田,義男,営業,ええ運輸,神奈川,運輸
2011-0045,201110リエイマ商事株式会社様商談,57000,20111019,成立,2001-01,10060,吉田,義男,営業,リエイマ商事株式会社,東京,電気、ガス、水道、エネルギー
2014-0072,201404リエイマ商事株式会社様商談,40000,20140421,成立,2001-01,10060,吉田,義男,営業,リエイマ商事株式会社,東京,電気、ガス、水道、エネルギー
2013-0059,201306リエイマ商事株式会社様商談,182940,20130625,成立,2010-01,10060,酒井,林檎,営業,リエイマ商事株式会社,東京,電気、ガス、水道、エネルギー
2012-0003,201202バッシーリテイリング株式会社様商談,40000,20120227,敗退,2001-01,10080,吉田,義男,営業,バッシーリテイリング株式会社,神奈川,小売
2012-0053,201202バッシーリテイリング株式会社様商談,67800,20120216,成立,2010-01,10080,酒井,林檎,営業,バッシーリテイリング株式会社,神奈川,小売
2014-0168,201412バッシーリテイリング株式会社様商談,22400,20141227,成立,2010-01,10080,酒井,林檎,営業,バッシーリテイリング株式会社,神奈川,小売
2015-0095,201507バッシーリテイリング株式会社様商談,122000,20150722,成立,2010-01,10080,酒井,林檎,営業,バッシーリテイリング株式会社,神奈川,小売
2012-0010,201203きのこホールディングス株式会社様商談,279000,20120304,成立,2001-01,10098,吉田,義男,営業,きのこホールディングス株式会社,東京,広告
2013-0103,201311きのこホールディングス株式会社様商談,15200,20131117,成立,2001-01,10098,吉田,義男,営業,きのこホールディングス株式会社,東京,広告
2014-0155,201410きのこホールディングス株式会社様商談,17800,20141001,敗退,2001-01,10098,吉田,義男,営業,きのこホールディングス株式会社,東京,広告
2012-0015,201203ムナミ株式会社様商談,43200,20120311,成立,2001-01,10052,吉田,義男,営業,ムナミ株式会社,神奈川,食品、科学
2014-0160,201411ムナミ株式会社様商談,19600,20141116,成立,2001-01,10052,吉田,義男,営業,ムナミ株式会社,神奈川,食品、科学
2015-0043,201503ムナミ株式会社様商談,279600,20150302,成立,2001-01,10052,吉田,義男,営業,ムナミ株式会社,神奈川,食品、科学
2014-0136,201409ムナミ株式会社様商談,17600,20140901,成立,2010-01,10052,酒井,林檎,営業,ムナミ株式会社,神奈川,食品、科学
2012-0026,201205Q信託銀行様商談,108880,20120502,成立,2001-01,10020,吉田,義男,営業,Q信託銀行,東京,金融
2012-0034,201209Q信託銀行様商談,9000,20120907,成立,2001-01,10020,吉田,義男,営業,Q信託銀行,東京,金融
2014-0101,201407Q信託銀行様商談,153600,20140731,成立,2010-01,10020,酒井,林檎,営業,Q信託銀行,東京,金融
2012-0033,201208ナーラー電気株式会社様商談,2400,20120806,成立,2001-01,10058,吉田,義男,営業,ナーラー電気株式会社,東京,電気、ガス、水道、エネルギー
2013-0032,201303ナーラー電気株式会社様商談,140000,20130323,成立,2001-01,10058,吉田,義男,営業,ナーラー電気株式会社,東京,電気、ガス、水道、エネルギー
2015-0045,201503ナーラー電気株式会社様商談,20000,20150307,成立,2001-01,10058,吉田,義男,営業,ナーラー電気株式会社,東京,電気、ガス、水道、エネルギー
2015-0057,201503ナーラー電気株式会社様商談,144600,20150310,成立,2001-01,10058,吉田,義男,営業,ナーラー電気株式会社,東京,電気、ガス、水道、エネルギー
2015-0088,201506ナーラー電気株式会社様商談,48700,20150628,敗退,2001-01,10058,吉田,義男,営業,ナーラー電気株式会社,東京,電気、ガス、水道、エネルギー
2011-0044,201109ナーラー電気株式会社様商談,282900,20110930,成立,2010-01,10058,酒井,林檎,営業,ナーラー電気株式会社,東京,電気、ガス、水道、エネルギー
2015-0112,201509ナーラー電気株式会社様商談,4000,20150926,成立,2010-01,10058,酒井,林檎,営業,ナーラー電気株式会社,東京,電気、ガス、水道、エネルギー
2012-0051,201201ヤマダフロント株式会社様商談,5600,20120106,成立,2001-01,10076,吉田,義男,営業,ヤマダフロント株式会社,東京,小売
2014-0008,201402ヤマダフロント株式会社様商談,25200,20140212,敗退,2001-01,10076,吉田,義男,営業,ヤマダフロント株式会社,東京,小売
2012-0069,201210萬総合福祉センター様商談,125000,20121002,成立,2001-01,10064,吉田,義男,営業,萬総合福祉センター,東京,医療、福祉
2014-0047,201403萬総合福祉センター様商談,200000,20140306,敗退,2001-01,10064,吉田,義男,営業,萬総合福祉センター,東京,医療、福祉
2012-0071,201211ミキ正武株式会社様商談,36600,20121107,成立,2001-01,10051,吉田,義男,営業,ミキ正武株式会社,東京,食品、科学
2014-0126,201409ミキ正武株式会社様商談,18000,20140914,成立,2010-01,10051,酒井,林檎,営業,ミキ正武株式会社,東京,食品、科学
